1;"Pesel";"Nazwisko";"Imie";"Plec";;
2;"p06262204017";"Swistek";"Damian";"chlopiec";6;1
3;"p06280601672";"Kowalik";"Mateusz";"chlopiec";6;17
4;"p06291509505";"Hintzke";"Nikola";"dziewczynka";6;5
5;"p06300202830";"Grzelecki";"Oliwier";"chlopiec";6;23
6;"p06300302288";"Hinz";"Nikola";"dziewczynka";6;5
7;"p06302805659";"Wasiluk";"Bartlomiej";"chlopiec";6;4
8;"p06302805673";"Wasilewski";"Bartlomiej";"chlopiec";6;4
9;"p06312002453";"Silakowski";"Henryk";"chlopiec";6;11
10;"p06321701187";"Kaftan";"Monika";"dziewczynka";6;17
11;"p07210801836";"Pettka";"Jan";"chlopiec";5;8
12;"p07211302312";"Zygmunt";"Adam";"chlopiec";5;21
13;"p07211400409";"Lukasik";"Magdalena";"dziewczynka";5;18
14;"p07211605217";"Hanczarek";"Olivier";"chlopiec";5;5
15;"p07212708544";"Samulczyk";"Julia";"dziewczynka";5;11
16;"p07212900748";"Rutkiewicz";"Julia";"dziewczynka";5;11
17;"p07220202935";"Bialaszewski";"Piotr";"chlopiec";5;7
18;"p07220901254";"Berezniewicz";"Wiktor";"chlopiec";5;7
19;"p07221000952";"Sobol";"Filip";"chlopiec";5;11
20;"p07221904096";"Kowalczyk";"Mateusz";"chlopiec";5;17
21;"p07222101065";"Senger";"Joanna";"dziewczynka";5;15
22;"p07230100340";"Sadowska";"Julia";"dziewczynka";5;11
23;"p07230200156";"Wojcicki";"Aleks";"chlopiec";5;3
24;"p07230203074";"Szczepkowski";"Dorian";"chlopiec";5;1
25;"p07230301949";"Stanislawska";"Hanna";"dziewczynka";5;1
26;"p07230500843";"Salanowska";"Julia";"dziewczynka";5;11
27;"p07231510661";"Skrzydlak";"Izabela";"dziewczynka";5;15
28;"p07232102579";"Koszlaga";"Mateusz";"chlopiec";5;17
29;"p07232207625";"Glowinska";"Patrycja";"dziewczynka";5;22
30;"p07232401104";"Sautycz";"Julia";"dziewczynka";5;11
31;"p07240101601";"Kowalczuk";"Maria";"dziewczynka";5;12
32;"p07240603387";"Sochacka";"Inka";"dziewczynka";5;15
33;"p07240607381";"Filarska";"Sandra";"dziewczynka";5;30
34;"p07242411795";"Przestrzelski";"Jakub";"chlopiec";5;26
35;"p07242703030";"Labuda";"Marcel";"chlopiec";5;2
36;"p07250700283";"Broukin";"Zofia";"dziewczynka";5;28
37;"p07250802848";"Kozlowska";"Malgorzata";"dziewczynka";5;12
38;"p07250900737";"Jakubowski";"Nikodem";"chlopiec";5;5
39;"p07251904938";"Sarnowski";"Ignacy";"chlopiec";5;19
40;"p07252801562";"Riegel";"Julia";"dziewczynka";5;11
41;"p07252804473";"Wierzbicki";"Antoni";"chlopiec";5;4
42;"p07252907107";"Sachse";"Julia";"dziewczynka";5;11
43;"p07260301492";"Kowalczyk";"Mateusz";"chlopiec";5;17
44;"p07260302189";"Jurewicz";"Nadia";"dziewczynka";5;17
45;"p07260401444";"Steinborn";"Hanna";"dziewczynka";5;1
46;"p07261500579";"Siminski";"Henryk";"chlopiec";5;11
47;"p07261502199";"Machalski";"Maciej";"chlopiec";5;12
48;"p07261813491";"Porydzaj";"Jakub";"chlopiec";5;26
49;"p07261900539";"Spanowski";"Filip";"chlopiec";5;15
50;"p07262200690";"Zmurko";"Adam";"chlopiec";5;21
51;"p07262303140";"Sibiga";"Joanna";"dziewczynka";5;15
52;"p07262602621";"Makowska";"Luiza";"dziewczynka";5;18
53;"p07270501176";"Machol";"Maciej";"chlopiec";5;12
54;"p07270806875";"Szmitko";"Dominik";"chlopiec";5;1
55;"p07271908385";"Leman";"Maja";"dziewczynka";5;6
56;"p07272000475";"Rembisz";"Jakub";"chlopiec";5;10
